Date,Open,High,Low,Close,Adj Close,Volume
2019-07-08,39.570000,39.689999,39.240002,39.320000,37.621853,6772300
2019-07-09,39.650002,40.009998,39.419998,39.669998,37.956738,6577000
2019-07-10,40.830002,41.139999,40.549999,40.709999,38.951820,7945000
2019-07-11,41.139999,41.189999,40.830002,40.900002,39.133621,6126600
2019-07-12,41.110001,41.270000,40.820000,41.230000,39.449364,4695800
2019-07-15,41.750000,41.930000,41.660000,41.820000,40.013885,5784300
2019-07-16,41.799999,41.950001,41.570000,41.770000,39.966042,6529500
2019-07-17,41.680000,41.910000,41.520000,41.630001,39.832096,5514600
2019-07-18,42.520000,43.230000,42.310001,43.189999,41.324715,11257600
2019-07-19,43.080002,44.020000,43.070000,43.830002,41.937084,11438800
2019-07-22,44.200001,44.880001,44.130001,44.599998,42.673828,10035800
2019-07-23,44.540001,44.580002,44.240002,44.419998,42.501595,6565800
2019-07-24,44.500000,44.630001,44.240002,44.540001,42.616417,7130400
2019-07-25,44.209999,44.240002,43.619999,43.619999,41.736145,6593900
2019-07-26,43.730000,43.889999,43.380001,43.459999,41.583057,4399000
2019-07-29,43.520000,43.950001,43.400002,43.939999,42.042328,4138600
2019-07-30,43.400002,43.400002,42.770000,43.110001,41.248165,4938500
2019-07-31,43.029999,43.169998,42.049999,42.630001,40.788902,7592300
2019-08-01,42.750000,43.389999,41.599998,41.869999,40.061726,9662800
2019-08-02,41.150002,41.779999,41.009998,41.650002,39.851231,9317000
2019-08-05,40.410000,40.520000,39.779999,39.869999,38.148102,6668400
2019-08-06,41.180000,41.509998,40.889999,41.259998,39.478073,8667700
2019-08-07,41.049999,41.450001,40.799999,41.259998,39.478073,5484700
2019-08-08,41.849998,42.180000,41.750000,41.900002,40.090431,7795900
2019-08-09,41.590000,41.709999,41.000000,41.410000,39.621597,3480500
2019-08-12,41.049999,41.270000,40.849998,40.959999,39.191021,3463500
2019-08-13,40.630001,41.990002,40.549999,41.840000,40.033020,7697800
2019-08-14,40.849998,41.090000,40.250000,40.430000,38.683918,9621800
2019-08-15,40.380001,40.990002,40.340000,40.860001,39.095345,7690100
2019-08-16,41.180000,41.730000,41.150002,41.540001,39.745979,4845700
2019-08-19,42.160000,42.209999,41.650002,41.779999,39.975609,3797600
2019-08-20,42.000000,42.220001,41.720001,41.939999,40.128696,7540300
2019-08-21,42.410000,42.639999,42.290001,42.580002,40.741062,3914600
2019-08-22,42.389999,42.490002,41.730000,42.130001,40.310497,3145600
2019-08-23,41.939999,42.150002,40.860001,40.950001,39.181465,7526900
2019-08-26,41.369999,41.549999,41.130001,41.340000,39.554611,5519000
2019-08-27,41.549999,41.680000,41.270000,41.349998,39.564182,4192800
2019-08-28,41.320000,41.770000,41.049999,41.650002,39.851231,3586000
2019-08-29,42.340000,42.570000,42.230000,42.279999,40.454014,5171600
2019-08-30,42.709999,42.889999,42.360001,42.630001,40.788902,5382200
2019-09-03,42.150002,42.160000,41.580002,41.720001,39.918205,4748000
2019-09-04,42.610001,43.150002,42.389999,43.150002,41.286453,4460900
2019-09-05,43.759998,44.509998,43.759998,44.240002,42.329369,7698300
2019-09-06,44.000000,44.040001,43.689999,43.709999,41.822250,4325300
2019-09-09,43.910000,44.080002,43.540001,43.849998,41.956211,4677000
2019-09-10,43.599998,44.099998,43.360001,44.099998,42.195415,5001600
2019-09-11,43.910000,44.270000,43.840000,44.220001,42.310234,4016800
2019-09-12,44.290001,44.459999,43.930000,44.070000,42.166718,6577900
2019-09-13,44.430000,44.830002,44.189999,44.740002,42.807777,6231100
2019-09-16,44.529999,44.740002,44.490002,44.599998,42.673828,3716300
2019-09-17,44.279999,45.150002,44.209999,45.130001,43.180927,6110900
2019-09-18,45.169998,45.200001,44.610001,45.040001,43.094826,4044800
2019-09-19,44.799999,45.220001,44.759998,44.900002,43.270214,6422700
2019-09-20,44.770000,44.900002,43.869999,43.869999,42.277599,7249200
2019-09-23,44.180000,44.290001,43.849998,44.070000,42.470348,4347000
2019-09-24,44.400002,44.549999,44.060001,44.119999,42.518528,7592200
2019-09-25,44.200001,45.099998,44.000000,45.009998,43.376221,6719500
2019-09-26,45.099998,46.509998,45.099998,46.459999,44.773586,15832500
2019-09-27,46.000000,46.480000,45.189999,45.509998,43.858070,9610400
2019-09-30,46.570000,46.740002,46.119999,46.480000,44.792866,8396900
2019-10-01,46.959999,47.849998,46.959999,47.189999,45.477093,11575200
2019-10-02,46.709999,46.939999,46.330002,46.430000,44.744678,5785200
2019-10-03,46.450001,47.139999,46.240002,47.130001,45.419270,6091600
2019-10-04,47.029999,47.450001,46.779999,47.419998,45.698738,5704200
2019-10-07,47.730000,48.150002,47.430000,47.950001,46.209503,11059000
2019-10-08,48.259998,48.400002,47.599998,47.860001,46.122776,13089700
2019-10-09,48.200001,49.060001,48.169998,48.680000,46.913006,11033100
2019-10-10,48.910000,49.389999,48.490002,48.930000,47.153927,9566500
2019-10-11,49.450001,49.790001,49.330002,49.419998,47.626148,7499100
2019-10-14,49.419998,50.130001,49.299999,49.910000,48.098362,7974000
2019-10-15,50.200001,50.639999,50.110001,50.389999,48.560940,9323200
2019-10-16,50.340000,51.130001,50.070000,50.130001,48.310375,13615700
2019-10-17,51.139999,51.209999,49.259998,49.750000,47.944172,12410200
2019-10-18,49.650002,50.090000,49.130001,49.279999,47.491230,9169200
2019-10-21,49.529999,50.110001,49.330002,50.000000,48.185093,6538900
2019-10-22,50.299999,50.830002,50.180000,50.639999,48.801857,10697300
2019-10-23,50.099998,50.400002,49.919998,50.169998,48.348919,7118800
2019-10-24,50.490002,51.049999,50.230000,50.950001,49.100613,7006600
2019-10-25,50.799999,51.230000,50.689999,51.130001,49.274075,6303500
2019-10-28,51.400002,51.480000,51.049999,51.310001,49.447548,7725500
2019-10-29,51.500000,51.840000,51.439999,51.470001,49.601738,5303900
2019-10-30,51.790001,52.060001,51.570000,51.910000,50.025764,5198100
2019-10-31,51.889999,51.930000,51.349998,51.630001,49.755932,5140800
2019-11-01,51.889999,52.099998,51.700001,52.099998,50.208862,5226600
2019-11-04,53.549999,53.790001,53.119999,53.490002,51.548416,7233400
2019-11-05,53.630001,53.970001,53.490002,53.549999,51.606232,5287100
2019-11-06,53.700001,53.750000,53.099998,53.639999,51.692970,4545100
2019-11-07,53.900002,54.369999,53.520000,53.669998,51.721882,7890900
2019-11-08,53.529999,53.529999,52.529999,52.830002,50.912373,6558400
2019-11-11,52.389999,52.750000,52.160000,52.599998,50.690716,4046500
2019-11-12,52.689999,52.689999,52.029999,52.150002,50.257053,8625100
2019-11-13,52.580002,52.939999,52.150002,52.880001,50.960556,5336200
2019-11-14,52.500000,52.730000,52.130001,52.480000,50.575077,5308600
2019-11-15,53.009998,53.389999,52.880001,53.290001,51.355671,5986400
2019-11-18,53.389999,53.959999,53.389999,53.419998,51.480957,4774400
2019-11-19,54.049999,54.139999,53.680000,53.759998,51.808613,4731100
2019-11-20,53.549999,53.779999,53.209999,53.500000,51.558052,5264800
2019-11-21,53.500000,53.509998,52.939999,52.980000,51.056927,6037000
2019-11-22,52.919998,53.160000,52.740002,52.790001,50.873825,4172300
2019-11-25,53.090000,53.939999,52.799999,53.759998,51.808613,5021500
2019-11-26,53.500000,53.790001,53.380001,53.630001,51.683331,5672800
2019-11-27,54.029999,54.060001,53.540001,53.889999,51.933891,2786100
2019-11-29,53.060001,53.160000,52.799999,53.090000,51.162933,3391700
2019-12-02,53.549999,53.590000,52.779999,52.980000,51.056927,4475800
2019-12-03,52.419998,52.930000,52.180000,52.779999,50.864185,5468100
2019-12-04,53.270000,53.570000,53.110001,53.180000,51.249664,3905200
2019-12-05,53.619999,54.540001,53.490002,54.400002,52.425385,7624300
2019-12-06,54.500000,55.029999,54.500000,54.939999,52.945782,5429100
2019-12-09,55.049999,55.189999,54.320000,54.459999,52.483200,6541900
